Calculators,Campaign page,Product page app,Product page open,Product page secured,Date,Product page target,Visitor or Client,MonthvsWeek,month,target_PP_23
145021,3227,NA,54413,0,2023-01-01,57640,visitor,Month,January,61405.16
0,0,8066,0,1145,2023-02-01,1145,client,Month,February,62430.22
145408,7162,NA,63980,0,2023-02-01,71142,visitor,Month,February,62430.22
128992,5728,0,48258,1145,2022-03-01,55131,total,Month,March,59296.19
110738,4211,0,45196,941,2022-04-01,50348,total,Month,April,54046.770000000004
115379,4830,14,57161,1154,2022-05-01,63145,total,Month,May,67625.07
118742,6046,5956,57272,988,2022-06-01,64306,total,Month,June,68897.3
140658,6815,6450,69870,1090,2022-07-01,77775,total,Month,July,83251.35
157507,7570,6537,70783,1039,2022-08-01,79392,total,Month,August,84999.73000000001
149022,8522,6388,58269,930,2022-09-01,67721,total,Month,September,72411.18000000001
155256,9241,6889,60187,973,2022-10-01,70401,total,Month,October,75429.65000000001
130884,6318,5865,56753,921,2022-11-01,63992,total,Month,November,68661.90000000001
120910,12438,5203,41729,717,2022-12-01,54884,total,Month,December,58776.170000000006
145021,3227,7646,54413,1096,2023-01-01,58736,total,Month,January,61405.16
145408,7162,8066,63980,1145,2023-02-01,72287,total,Month,February,62430.22
